,Wk,Day,Date,Time,Home,Away,HomeGoals,AwayGoals,HXG,AXG,,,Attendance,Venue,Referee
1,1,Fri,19/8/2022,21:30,Volos NFC,Asteras Tripoli,3,3,1.4,1,,,745,Panthessaliko Stadio,Konstantinos Perrakis
2,1,Sat,20/8/2022,20:00,Atromitos,OFI Crete,3,1,1.5,0.8,,,715,Stadio Peristeriou,Aristotelis Diamantopoulos
3,1,Sat,20/8/2022,21:30,PAS Lamia,AEK Athens,0,3,1.1,1.3,,,2002,Dimotiko Athlitiko Kentro Lamias,Aristomenis Koutsiaftis
4,1,Sat,20/8/2022,21:45,PAOK,Panetolikos,1,0,1.7,0.2,,,8715,Stadio Toumbas,Angelos Evangelou
5,1,Sun,21/8/2022,20:00,Panathinaikos,Ionikos,1,0,1.7,0.2,,,8518,Stadio Apóstolos Nikolaidis,Anastasios Sidiropoulos
6,1,Sun,21/8/2022,20:30,Aris,Levadiakos,3,0,1.4,0.4,,,7353,Stadio Harilaou Kleánthis Vikelídis,Georgios Tzovaras
7,1,Sun,21/8/2022,22:00,Olympiacos,PAS Giannina,2,0,1.3,0.4,,,9523,Stadio Georgios Karaiskáki,Evangelos Manouhos
8,2,Fri,26/8/2022,21:30,Ionikos,Levadiakos,0,0,0.6,0.4,,,510,Dimotiko Gipedo Neapolis Nikaias,Spiros Zabalas
9,2,Sat,27/8/2022,20:00,PAS Giannina,PAS Lamia,1,1,0.8,1.3,,,1391,Stadio Zosimades,Alexandros Tsakalidis
10,2,Sat,27/8/2022,21:30,AEK Athens,Volos NFC,0,1,0.9,0.2,,,12526,Stadio Georgios Kamaras,Ioannis Papadopoulos
11,2,Sun,28/8/2022,19:00,Panetolikos,Aris,3,1,0.9,0.6,,,1719,Stadio Panetolikou,Anastasios Papapetrou
12,2,Sun,28/8/2022,21:00,OFI Crete,Panathinaikos,0,2,0.2,0.7,,,5079,Stadio Thódoros Vardinoyánnis,Vassilis Fotias
13,2,Sun,28/8/2022,21:45,PAOK,Atromitos,2,1,1.4,0.3,,,10490,Stadio Toumbas,Athanasios Tzilos
14,2,Mon,29/8/2022,19:00,Asteras Tripoli,Olympiacos,0,0,0.1,0.7,,,1229,Stadio Theodoros Kolokotronis,Dimitrios Karantonis
15,3,Sat,3/9/2022,17:45,PAS Lamia,Asteras Tripoli,0,0,0.4,0.4,,,1157,Dimotiko Athlitiko Kentro Lamias,Angelos Angelakis
16,3,Sat,3/9/2022,19:00,Olympiacos,Ionikos,3,1,2,0.5,,,15065,Stadio Georgios Karaiskáki,Aristotelis Diamantopoulos
17,3,Sat,3/9/2022,20:30,Panathinaikos,Levadiakos,1,0,1.3,0.1,,,10123,Stadio Apóstolos Nikolaidis,Petros Tsagarakis
18,3,Sun,4/9/2022,18:30,Atromitos,Panetolikos,1,1,1,0.5,,,1192,Stadio Peristeriou,Anastasios Sidiropoulos
19,3,Sun,4/9/2022,19:00,Volos NFC,OFI Crete,0,1,0.6,0.2,,,664,Panthessaliko Stadio,Anastasios Papapetrou
20,3,Sun,4/9/2022,21:30,AEK Athens,PAS Giannina,2,0,0.6,0.6,,,13072,Stadio Georgios Kamaras,Evangelos Manouhos
21,3,Sun,4/9/2022,21:30,Aris,PAOK,0,0,1.4,0.5,,,12565,Stadio Harilaou Kleánthis Vikelídis,Miguel Garcia Godinho
22,4,Sat,10/9/2022,18:30,OFI Crete,Panetolikos,1,2,0.5,0.5,,,3014,Stadio Thódoros Vardinoyánnis,Ioannis Papadopoulos
23,4,Sat,10/9/2022,19:15,PAS Giannina,Levadiakos,2,1,1,0.3,,,1212,Stadio Zosimades,Andreas Gamaris
24,4,Sat,10/9/2022,21:30,Ionikos,Atromitos,1,4,0.5,2,,,1037,Dimotiko Gipedo Neapolis Nikaias,Georgios Tzovaras
25,4,Sun,11/9/2022,18:30,Olympiacos,Volos NFC,1,1,1.2,0.5,,,17017,Stadio Georgios Karaiskáki,Vassilis Fotias
26,4,Sun,11/9/2022,21:30,Panathinaikos,AEK Athens,2,1,2.4,0.7,,,13943,Stadio Apóstolos Nikolaidis,Anastasios Sidiropoulos
27,4,Sun,11/9/2022,21:30,Asteras Tripoli,Aris,0,2,2.1,0.7,,,827,Stadio Theodoros Kolokotronis,Konstantinos Tsetsilas
